Player,TEAM,AGE,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_corner_three,FGA_corner_three,FG%_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Shake Milton,PHI,22,12,20,60.0,3,12,25.0,5,11,45.5,4,9,44.4,1,6,16.7,5,15,33.3,9,29,31.0
Shaquille Harrison,CHI,25,137,249,55.0,21,73,28.8,2,15,13.3,6,20,30.0,3,12,25.0,9,32,28.1,15,54,27.8
Shaun Livingston,GSW,33,46,72,63.9,35,69,50.7,28,67,41.8,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Shelvin Mack,CHA,29,69,122,56.6,30,82,36.6,18,69,26.1,4,12,33.3,2,12,16.7,6,24,25.0,40,106,37.7
Sindarius Thornwell,LAC,24,9,20,45.0,5,14,35.7,0,0,0.0,0,4,0.0,1,3,33.3,1,7,14.3,2,8,25.0
Skal Labissiere,POR,23,13,21,61.9,3,8,37.5,4,7,57.1,0,1,0.0,0,0,0.0,0,1,0.0,6,12,50.0
Solomon Hill,NOP,28,28,47,59.6,5,19,26.3,3,11,27.3,8,21,38.1,6,16,37.5,14,37,37.8,18,63,28.6
Spencer Dinwiddie,BKN,26,173,270,64.1,51,141,36.2,19,47,40.4,7,24,29.2,20,43,46.5,27,67,40.3,95,298,31.9
Stanley Johnson,NOP,23,64,126,50.8,33,65,50.8,12,34,35.3,10,33,30.3,13,43,30.2,23,76,30.3,39,136,28.7
Stephen Curry,GSW,31,147,234,62.8,46,100,46.0,85,196,43.4,41,77,53.2,26,56,46.4,67,133,50.4,286,666,42.9
Sterling Brown,MIL,24,77,129,59.7,8,20,40.0,7,17,41.2,14,26,53.8,15,31,48.4,29,57,50.9,24,87,27.6
Steven Adams,OKC,25,366,559,65.5,100,223,44.8,15,25,60.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Svi Mykhailiuk,DET,22,10,23,43.5,1,7,14.3,6,21,28.6,5,18,27.8,5,9,55.6,10,27,37.0,19,62,30.6
T.J. McConnell,PHI,27,73,106,68.9,61,138,44.2,72,133,54.1,3,9,33.3,5,14,35.7,8,23,34.8,6,19,31.6
T.J. Warren,PHX,25,127,198,64.1,57,130,43.8,36,103,35.0,18,36,50.0,8,21,38.1,26,57,45.6,51,123,41.5
TJ Leaf,IND,22,64,87,73.6,22,49,44.9,5,16,31.3,1,5,20.0,1,4,25.0,2,9,22.2,6,22,27.3
Tahjere McCall,BKN,24,2,2,100,0,0,0.0,0,0,0.0,,,,0,1,0.0,0,1,0.0,0,0,0.0
Taj Gibson,MIN,34,222,335,66.3,42,103,40.8,29,66,43.9,5,17,29.4,5,9,55.6,10,26,38.5,1,6,16.7
Taurean Prince,ATL,25,77,119,64.7,31,84,36.9,31,76,40.8,23,54,42.6,28,64,43.8,51,118,43.2,72,194,37.1
Terrance Ferguson,OKC,21,67,93,72.0,3,17,17.6,9,34,26.5,29,88,33.0,33,67,49.3,62,155,40.0,44,132,33.3
Terrence Jones,HOU,27,1,2,50.0,0,0,0.0,0,0,0.0,,,,0,0,0.0,0,0,,0,2,0.0
Terrence Ross,ORL,28,52,81,64.2,30,56,53.6,141,324,43.5,14,36,38.9,12,22,54.5,26,58,44.8,191,501,38.1
Terry Rozier,BOS,25,77,136,56.6,39,106,36.8,23,88,26.1,22,44,50.0,5,25,20.0,27,69,39.1,92,267,34.5
Thabo Sefolosha,UTA,35,26,44,59.1,5,12,41.7,6,15,40.0,9,25,36.0,12,22,54.5,21,47,44.7,13,31,41.9
Thaddeus Young,IND,31,288,442,65.2,93,199,46.7,11,54,20.4,17,46,37.0,6,20,30.0,23,66,34.8,28,78,35.9
Theo Pinson,BKN,23,12,17,70.6,0,6,0.0,1,4,25.0,0,2,0.0,1,1,100,1,3,33.3,11,42,26.2
Thomas Bryant,WAS,21,218,273,79.9,27,60,45.0,31,70,44.3,1,5,20.0,1,6,16.7,2,11,18.2,31,88,35.2
Thomas Welsh,DEN,23,1,1,100,1,1,100,2,4,50.0,0,0,0.0,0,0,0.0,0,0,,3,7,42.9
Thon Maker,DET,22,48,79,60.8,8,20,40.0,4,16,25.0,13,33,39.4,12,35,34.3,25,68,36.8,24,85,28.2
Tim Frazier,MIL,28,49,84,58.3,15,33,45.5,15,43,34.9,4,13,30.8,7,11,63.6,11,24,45.8,26,77,33.8
Tim Hardaway Jr.,DAL,27,103,186,55.4,41,130,31.5,84,200,42.0,5,17,29.4,15,43,34.9,20,60,33.3,142,415,34.2
Timothe Luwawu-Cabarrot,CHI,24,39,70,55.7,1,11,9.1,6,21,28.6,9,23,39.1,10,25,40.0,19,48,39.6,17,67,25.4
Tobias Harris,PHI,26,216,349,61.9,138,282,48.9,101,231,43.7,16,34,47.1,16,35,45.7,32,69,46.4,124,320,38.8
Tomas Satoransky,WAS,27,125,192,65.1,45,107,42.1,23,69,33.3,4,23,17.4,14,24,58.3,18,47,38.3,46,113,40.7
Tony Bradley,UTA,21,8,14,57.1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Tony Parker,CHA,37,87,160,54.4,47,92,51.1,66,160,41.3,0,2,0.0,3,6,50.0,3,8,37.5,10,41,24.4
Tony Snell,MIL,27,67,103,65.0,7,29,24.1,8,25,32.0,18,40,45.0,10,26,38.5,28,66,42.4,53,137,38.7
Torrey Craig,DEN,28,84,129,65.1,9,27,33.3,6,19,31.6,14,40,35.0,15,41,36.6,29,81,35.8,32,106,30.2
Trae Young,ATL,20,200,377,53.1,121,258,46.9,48,139,34.5,3,7,42.9,4,11,36.4,7,18,38.9,149,463,32.2
Treveon Graham,BKN,25,12,23,52.2,9,26,34.6,6,15,40.0,8,21,38.1,0,20,0.0,8,41,19.5,29,86,33.7
Trevon Duval,HOU,20,1,1,100,0,0,0.0,0,1,0.0,1,1,100,,,,1,1,100,0,0,0.0
Trevor Ariza,WAS,33,126,221,57.0,7,43,16.3,16,38,42.1,24,52,46.2,31,83,37.3,55,135,40.7,90,298,30.2
Trey Burke,DAL,26,78,139,56.1,40,101,39.6,62,149,41.6,4,14,28.6,4,10,40.0,8,24,33.3,48,132,36.4
Trey Lyles,DEN,23,99,147,67.3,35,97,36.1,22,51,43.1,9,26,34.6,5,10,50.0,14,36,38.9,37,162,22.8
Tristan Thompson,CLE,28,117,198,59.1,72,151,47.7,12,31,38.7,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Troy Brown Jr.,WAS,19,48,74,64.9,13,50,26.0,14,41,34.1,3,9,33.3,4,8,50.0,7,17,41.2,15,51,29.4
Troy Caupain,ORL,23,0,1,0.0,1,1,100,1,3,33.3,,,,0,0,0.0,0,0,,2,3,66.7
Troy Daniels,PHX,27,10,24,41.7,11,19,57.9,18,38,47.4,11,22,50.0,11,21,52.4,22,43,51.2,52,151,34.4
Troy Williams,SAC,24,25,38,65.8,4,11,36.4,1,5,20.0,0,2,0.0,2,6,33.3,2,8,25.0,12,35,34.3
Tyler Cavanaugh,UTA,25,2,3,66.7,0,2,0.0,0,0,0.0,0,2,0.0,0,1,0.0,0,3,0.0,1,2,50.0
Tyler Davis,OKC,22,0,1,0.0,0,0,0.0,,,,,,,,,,0,0,,,,
Tyler Dorsey,MEM,23,40,70,57.1,11,27,40.7,12,35,34.3,6,14,42.9,3,15,20.0,9,29,31.0,35,103,34.0
Tyler Johnson,PHX,27,72,114,63.2,41,101,40.6,15,52,28.8,9,24,37.5,6,29,20.7,15,53,28.3,74,206,35.9
Tyler Lydon,DEN,23,5,7,71.4,0,1,0.0,0,0,0.0,1,2,50.0,1,2,50.0,2,4,50.0,2,6,33.3
Tyler Ulis,CHI,23,,,,0,0,0.0,0,0,0.0,,,,,,,0,0,,,,
Tyler Zeller,MEM,29,11,18,61.1,4,9,44.4,1,2,50.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0
Tyreke Evans,IND,29,135,296,45.6,14,52,26.9,31,96,32.3,0,10,0.0,8,17,47.1,8,27,29.6,69,189,36.5
Tyrone Wallace,LAC,25,44,91,48.4,34,90,37.8,10,17,58.8,2,6,33.3,1,3,33.3,3,9,33.3,1,10,10.0
Tyson Chandler,LAL,36,58,90,64.4,3,7,42.9,0,1,0.0,0,0,0.0,0,0,0.0,0,0,,0,1,0.0
Tyus Jones,MIN,23,59,107,55.1,53,123,43.1,33,90,36.7,3,13,23.1,9,16,56.3,12,29,41.4,28,96,29.2
Udonis Haslem,MIA,39,5,7,71.4,1,4,25.0,5,10,50.0,0,0,0.0,0,2,0.0,0,2,0.0,0,10,0.0
Victor Oladipo,IND,27,83,145,57.2,21,60,35.0,71,167,42.5,2,5,40.0,4,15,26.7,6,20,30.0,68,195,34.9
Vince Carter,ATL,42,46,78,59.0,12,31,38.7,16,44,36.4,10,23,43.5,15,31,48.4,25,54,46.3,97,258,37.6
Vincent Edwards,HOU,23,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,1,0.0,1,3,33.3,0,1,0.0
Wade Baldwin IV,POR,23,5,12,41.7,1,6,16.7,2,7,28.6,1,1,100,0,0,0.0,1,1,100,1,7,14.3
Walt Lemon Jr.,CHI,26,26,52,50.0,4,12,33.3,6,18,33.3,0,0,0.0,0,0,0.0,0,0,,2,5,40.0
Wayne Ellington,DET,31,31,45,68.9,9,20,45.0,6,20,30.0,18,52,34.6,23,52,44.2,41,104,39.4,97,268,36.2
Wayne Selden,CHI,24,66,128,51.6,37,100,37.0,39,82,47.6,8,25,32.0,9,17,52.9,17,42,40.5,37,131,28.2
