TEAM,SEASON,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Los Angeles Clippers,2012-13,17.6,26.8,65.8,4.9,11.3,42.9,8.4,21.1,39.9,1.4,3.7,36.3,1.5,3.6,40.7,4.8,13.9,34.7
Los Angeles Lakers,2012-13,16.5,26.3,62.5,4.5,11.9,38.3,7.4,18.2,40.4,1.3,3.5,36.0,1.2,3.1,37.2,6.2,17.6,35.4
Memphis Grizzlies,2012-13,15.6,27.8,56.1,6.0,15.1,39.3,10.0,25.0,39.8,0.7,2.0,37.4,0.9,2.1,41.8,3.1,9.4,32.9
Miami Heat,2012-13,17.0,24.9,68.2,3.8,9.3,40.7,8.9,21.2,42.0,1.8,4.2,43.1,2.0,4.6,43.1,5.0,13.2,37.6
Milwaukee Bucks,2012-13,17.5,30.9,56.6,3.9,11.5,34.1,9.4,25.0,37.7,0.8,2.5,33.8,1.1,2.6,41.5,5.4,15.2,35.7
Minnesota Timberwolves,2012-13,17.3,29.3,59.1,3.2,9.5,33.3,9.9,24.9,39.8,0.9,2.5,36.6,0.6,1.8,34.0,4.0,13.7,29.2
New Orleans Hornets,2012-13,16.0,27.7,57.7,5.2,13.6,38.3,8.3,21.0,39.4,0.6,1.5,36.5,0.7,1.7,40.0,5.3,14.5,36.3
New York Knicks,2012-13,14.8,25.1,58.9,2.1,6.0,34.8,8.8,21.6,40.8,1.5,4.0,37.2,1.2,3.0,38.7,8.2,21.5,38.0
Oklahoma City Thunder,2012-13,16.6,25.5,65.0,4.7,11.6,40.8,9.5,22.9,41.7,1.3,3.2,39.8,0.9,1.9,49.7,5.1,14.2,35.9
Orlando Magic,2012-13,16.1,26.7,60.4,5.7,13.2,43.0,9.7,25.5,38.1,1.0,2.5,38.8,0.6,1.9,33.3,4.6,14.3,32.0
Philadelphia 76ers,2012-13,14.8,25.2,58.6,4.7,12.1,38.8,11.5,29.3,39.4,1.1,3.1,35.4,1.0,2.4,41.4,4.2,11.9,35.6
Phoenix Suns,2012-13,16.2,26.3,61.7,4.0,11.8,34.1,11.3,28.5,39.4,0.8,2.2,37.0,1.0,2.8,36.6,4.0,12.6,31.9
Portland Trail Blazers,2012-13,15.3,25.5,59.8,3.4,8.9,38.6,9.8,24.3,40.4,1.4,3.1,43.0,0.9,2.6,35.0,6.0,17.4,34.3
Sacramento Kings,2012-13,17.3,29.1,59.5,5.6,14.0,39.7,7.3,20.6,35.6,1.0,2.6,37.9,1.2,3.0,39.1,5.3,14.7,35.8
San Antonio Spurs,2012-13,17.3,27.3,63.4,5.0,11.9,41.9,8.8,20.7,42.3,1.6,3.8,42.0,1.6,3.9,40.4,4.9,13.6,36.0
Toronto Raptors,2012-13,14.3,22.9,62.3,5.0,11.8,42.1,10.1,26.5,38.2,0.8,2.1,40.2,0.7,2.3,31.0,5.4,15.8,34.2
Utah Jazz,2012-13,16.1,25.9,62.3,5.3,13.5,39.6,9.5,25.6,37.2,0.8,2.0,39.9,0.7,1.9,35.5,4.7,12.9,36.8
Washington Wizards,2012-13,13.0,22.0,58.9,5.3,13.3,40.0,10.5,28.0,37.6,1.4,3.2,44.4,1.5,3.1,47.0,3.8,11.9,32.0
Atlanta Hawks,2011-12,15.4,24.9,61.7,4.5,10.9,41.5,9.4,25.0,37.7,1.5,3.7,40.7,1.3,3.3,38.5,4.7,13.0,35.8
Boston Celtics,2011-12,14.2,23.5,60.2,3.3,9.0,36.9,12.5,29.6,42.2,1.2,2.9,42.4,0.9,2.1,44.9,3.4,10.0,33.7
Charlotte Bobcats,2011-12,14.4,25.3,56.8,3.2,9.6,33.8,11.6,31.8,36.6,0.4,1.2,36.5,0.3,1.1,31.0,3.2,11.1,29.1
Chicago Bulls,2011-12,16.0,27.4,58.5,4.0,10.0,39.7,11.0,28.4,38.8,0.9,2.1,41.6,0.9,2.6,33.5,4.7,12.2,38.3
Cleveland Cavaliers,2011-12,16.6,29.2,56.7,4.4,13.2,33.3,6.6,19.5,34.0,0.8,2.2,35.8,1.0,2.5,37.6,4.9,14.5,34.1
Dallas Mavericks,2011-12,13.8,22.0,62.9,4.8,13.1,36.8,10.1,24.7,41.0,0.9,2.5,35.0,1.0,2.7,35.6,5.7,16.9,33.8
Denver Nuggets,2011-12,22.3,36.1,61.9,4.3,10.9,39.9,5.7,15.1,37.8,1.2,3.6,33.8,1.1,2.7,39.0,4.3,13.2,32.6
Detroit Pistons,2011-12,16.0,28.2,56.9,4.7,12.3,38.3,9.2,25.0,36.9,0.9,2.1,41.4,0.5,1.5,31.0,3.5,10.1,34.5
