Year,Player,G,MP,Pos,TRB,AST,STL,BLK,PTS,TS%,3PAr,FTr,WS,OBPM,DBPM,VORP,DraftYear,DraftPick,ALL_STAR
2017,Kris Dunn,78,17.1,PG,2.1,2.4,1.0,0.5,3.8,0.432,0.233,0.188,0.1,-4.5,1.8,-0.3,2016,5,0
2017,Buddy Hield,82,23.0,SG,3.3,1.5,0.5,0.1,10.6,0.541,0.494,0.099,1.3,-0.6,-1.4,0.0,2016,6,0
2017,Jamal Murray,82,21.5,SG,2.6,2.1,0.6,0.3,9.9,0.518,0.471,0.164,1.3,-0.6,-1.4,0.0,2016,7,0
2017,Marquese Chriss,82,21.3,PF,4.2,0.7,0.8,0.9,9.2,0.529,0.354,0.286,1.8,-2.2,-0.1,-0.1,2016,8,0
2017,Jakob Pöltl,54,11.6,C,3.1,0.2,0.3,0.4,3.1,0.589,0.0,0.496,1.6,-3.0,-0.1,-0.2,2016,9,0
2017,Thon Maker,57,9.9,C,2.0,0.4,0.2,0.5,4.0,0.558,0.409,0.271,1.3,-1.1,-0.9,0.0,2016,10,0
2017,Domantas Sabonis,81,20.1,PF,3.6,1.0,0.5,0.4,5.9,0.469,0.331,0.139,0.8,-4.5,-0.1,-1.0,2016,11,1
2017,Taurean Waller-Prince,59,16.6,SF,2.7,0.9,0.7,0.5,5.7,0.513,0.358,0.33,1.1,-3.5,1.7,0.0,2016,12,0
2017,Georgios Papagiannis,22,16.1,C,3.9,0.9,0.1,0.8,5.6,0.573,0.02,0.137,0.4,-3.1,-0.6,-0.2,2016,13,0
2017,Denzel Valentine,57,17.1,SG,2.6,1.1,0.5,0.1,5.1,0.492,0.722,0.063,0.6,-3.5,0.1,-0.3,2016,14,0
